time;voltage;current;soc
805.0;4.124;0.153;0.9891014610389656
806.0;4.123;0.153;0.9890876623376669
807.0;4.123;0.153;0.9890738636363682
808.0;4.123;0.153;0.9890600649350695
809.0;4.123;0.153;0.9890462662337708
810.0;4.123;0.153;0.9890324675324721
811.0;4.123;0.153;0.9890186688311734
812.0;4.123;0.153;0.9890048701298747
813.0;4.123;0.153;0.988991071428576
814.0;4.123;0.153;0.9889772727272773
815.0;4.123;0.153;0.9889634740259786
816.0;4.123;0.153;0.9889496753246799
817.0;4.123;0.153;0.9889358766233812
818.0;4.123;0.153;0.9889220779220825
819.0;4.123;0.153;0.9889082792207838
820.0;4.123;0.153;0.9888944805194851
821.0;4.123;0.153;0.9888806818181864
822.0;4.123;0.153;0.9888668831168878
823.0;4.123;0.153;0.9888530844155891
824.0;4.123;0.153;0.9888392857142904
825.0;4.123;0.153;0.9888254870129917
826.0;4.123;0.153;0.988811688311693
827.0;4.123;0.153;0.9887978896103943
828.0;4.123;0.153;0.9887840909090956
829.0;4.123;0.153;0.9887702922077969
830.0;4.123;0.153;0.9887564935064982
831.0;4.123;0.153;0.9887426948051995
832.0;4.123;0.153;0.9887288961039008
833.0;4.123;0.153;0.9887150974026021
834.0;4.123;0.153;0.9887012987013034
835.0;4.123;0.153;0.9886875000000047
836.0;4.123;0.153;0.988673701298706
837.0;4.123;0.153;0.9886599025974073
838.0;4.123;0.153;0.9886461038961086
839.0;4.123;0.153;0.9886323051948099
840.0;4.123;0.153;0.9886185064935112
841.0;4.123;0.153;0.9886047077922125
842.0;4.123;0.153;0.9885909090909138
843.0;4.123;0.153;0.9885771103896152
844.0;4.123;0.153;0.9885633116883165
845.0;4.123;0.153;0.9885495129870178
846.0;4.122;0.153;0.9885357142857191
847.0;4.122;0.153;0.9885219155844204
848.0;4.122;0.153;0.9885081168831217
849.0;4.122;0.153;0.988494318181823
850.0;4.122;0.153;0.9884805194805243
851.0;4.122;0.153;0.9884667207792256
852.0;4.122;0.153;0.9884529220779269
853.0;4.122;0.153;0.9884391233766282
854.0;4.122;0.153;0.9884253246753295
855.0;4.122;0.153;0.9884115259740308
856.0;4.122;0.153;0.9883977272727321
857.0;4.122;0.153;0.9883839285714334
858.0;4.122;0.153;0.9883701298701347
859.0;4.122;0.153;0.988356331168836
860.0;4.122;0.153;0.9883425324675373
861.0;4.122;0.153;0.9883287337662386
862.0;4.122;0.153;0.98831493506494
863.0;4.122;0.153;0.9883011363636413
864.0;4.122;0.153;0.9882873376623426
865.0;4.122;0.153;0.9882735389610439
866.0;4.122;0.153;0.9882597402597452
867.0;4.122;0.153;0.9882459415584465
868.0;4.122;0.153;0.9882321428571478
869.0;4.122;0.153;0.9882183441558491
870.0;4.122;0.153;0.9882045454545504
871.0;4.122;0.153;0.9881907467532517
872.0;4.122;0.153;0.988176948051953
873.0;4.122;0.153;0.9881631493506543
874.0;4.122;0.153;0.9881493506493556
875.0;4.122;0.153;0.9881355519480569
876.0;4.122;0.153;0.9881217532467582
877.0;4.122;0.153;0.9881079545454595
878.0;4.122;0.153;0.9880941558441608
879.0;4.122;0.153;0.9880803571428621
880.0;4.122;0.153;0.9880665584415634
881.0;4.122;0.153;0.9880527597402647
882.0;4.122;0.153;0.988038961038966
883.0;4.122;0.153;0.9880251623376674
884.0;4.122;0.153;0.9880113636363687
885.0;4.122;0.153;0.98799756493507
886.0;4.122;0.153;0.9879837662337713
887.0;4.122;0.153;0.9879699675324726
888.0;4.122;0.153;0.9879561688311739
889.0;4.122;0.153;0.9879423701298752
890.0;4.121;0.153;0.9879285714285765
891.0;4.121;0.153;0.9879147727272778
892.0;4.121;0.153;0.9879009740259791
893.0;4.121;0.153;0.9878871753246804
894.0;4.121;0.153;0.9878733766233817
895.0;4.121;0.153;0.987859577922083
896.0;4.121;0.153;0.9878457792207843
897.0;4.121;0.153;0.9878319805194856
898.0;4.121;0.153;0.9878181818181869
899.0;4.121;0.153;0.9878043831168882
900.0;4.121;0.153;0.9877905844155895
901.0;4.121;0.153;0.9877767857142908
902.0;4.121;0.153;0.9877629870129921
903.0;4.121;0.153;0.9877491883116934
904.0;4.121;0.153;0.9877353896103948
905.0;4.121;0.153;0.9877215909090961
906.0;4.121;0.153;0.9877077922077974
907.0;4.121;0.153;0.9876939935064987
908.0;4.121;0.153;0.9876801948052
909.0;4.121;0.153;0.9876663961039013
910.0;4.121;0.153;0.9876525974026026
911.0;4.121;0.153;0.9876387987013039
912.0;4.121;0.153;0.9876250000000052
913.0;4.121;0.153;0.9876112012987065
914.0;4.121;0.153;0.9875974025974078
915.0;4.121;0.153;0.9875836038961091
916.0;4.121;0.153;0.9875698051948104
917.0;4.121;0.153;0.9875560064935117
918.0;4.121;0.153;0.987542207792213
919.0;4.121;0.153;0.9875284090909143
920.0;4.121;0.153;0.9875146103896156
921.0;4.121;0.153;0.9875008116883169
922.0;4.121;0.153;0.9874870129870182
923.0;4.121;0.153;0.9874732142857195
924.0;4.121;0.153;0.9874594155844209
925.0;4.121;0.153;0.9874456168831222
926.0;4.121;0.153;0.9874318181818235
927.0;4.121;0.153;0.9874180194805248
928.0;4.121;0.153;0.9874042207792261
929.0;4.121;0.153;0.9873904220779274
930.0;4.121;0.153;0.9873766233766287
931.0;4.121;0.153;0.98736282467533
932.0;4.121;0.153;0.9873490259740313
933.0;4.12;0.153;0.9873352272727326
934.0;4.12;0.153;0.9873214285714339
935.0;4.12;0.153;0.9873076298701352
936.0;4.12;0.153;0.9872938311688365
937.0;4.12;0.153;0.9872800324675378
938.0;4.12;0.153;0.9872662337662391
939.0;4.12;0.153;0.9872524350649404
940.0;4.12;0.153;0.9872386363636417
941.0;4.12;0.153;0.987224837662343
942.0;4.12;0.153;0.9872110389610443
943.0;4.12;0.153;0.9871972402597456
944.0;4.12;0.153;0.987183441558447
945.0;4.12;0.153;0.9871696428571483
946.0;4.12;0.153;0.9871558441558496
947.0;4.12;0.153;0.9871420454545509
948.0;4.12;0.153;0.9871282467532522
949.0;4.12;0.153;0.9871144480519535
950.0;4.12;0.153;0.9871006493506548
